Employee_Name,Employee_Number,State,Zip,DOB,Age,Sex,MaritalDesc,CitizenDesc,Date_of_Hire,Date_of_Termination,Reason_For_Term,Employment_Status,Department,Position,Pay_Rate,Manager_Name,Employee_Source,Performance_Score
"Gonzalez, Maria",1988299991,MA,2472,16/04/1981,36,Female,Separated,US Citizen,5/1/15,,N/A - still employed,Active,IT/IS,Network Engineer,39,Peter Monroe,Employee Referral,Fully Meets
"Cockel, James",1599991009,MA,2452,8/9/77,40,Male,Single,US Citizen,8/7/13,,N/A - still employed,Active,Production       ,Production Technician I,15,David Stanley,Employee Referral,Fully Meets
"Bunbury, Jessica",1504073368,VA,21851,1/6/64,53,Female,Married,Eligible NonCitizen,15/08/2011,2/8/14,Another position,Voluntarily Terminated,Sales,Area Sales Manager,55,John Smith,Social Networks - Facebook Twitter etc,Fully Meets
"Buck, Edward",1504073313,MA,2330,7/7/75,42,Male,Married,US Citizen,29/09/2014,,N/A - still employed,Active,Sales,Area Sales Manager,55,Lynn Daneault,Employee Referral,Fully Meets
"Jacobi, Hannah  ",1503072857,MA,1778,22/03/1966,51,Female,Divorced,US Citizen,30/09/2013,,N/A - still employed,Active,Production       ,Production Technician I,21,Kissy Sullivan,Employee Referral,Fully Meets
"Riordan, Michael",1502072711,ND,58782,15/01/1968,50,Male,Separated,US Citizen,9/1/06,,N/A - still employed,Active,Sales,Area Sales Manager,55,Lynn Daneault,Billboard,Exceeds
"Ferguson, Susan",1502072511,MA,2176,14/04/1955,62,Female,Married,US Citizen,7/11/11,17/05/2014,military,Voluntarily Terminated,Production       ,Production Technician I,20,Webster Butler,Search Engine - Google Bing Yahoo,Fully Meets
"Albert, Michael  ",1501072311,MA,2169,10/10/68,49,Male,Divorced,US Citizen,1/8/11,,N/A - still employed,Active,Production       ,Production Manager,54.5,Janet King,Employee Referral,Fully Meets
"Gentry, Mildred",1501072192,MA,2145,1/10/90,27,Female,Married,US Citizen,30/03/2015,,N/A - still employed,Active,Production       ,Production Technician I,19,Michael Albert,Professional Society,N/A- too early to review
"Onque, Jasmine",1501072180,FL,33174,11/5/90,27,Female,Single,US Citizen,30/09/2013,,N/A - still employed,Active,Sales,Area Sales Manager,57,Lynn Daneault,Pay Per Click - Google,Fully Meets
"Desimone, Carl ",1501072124,MA,2061,19/04/1967,50,Male,Married,US Citizen,7/7/14,,N/A - still employed,Active,Production       ,Production Technician I,20,Amy Dunn,Professional Society,PIP
"Galia, Lisa",1501072093,CT,6040,6/7/68,49,Female,Single,US Citizen,1/5/10,,N/A - still employed,Active,IT/IS,IT Support,31.4,Eric Dougall,Vendor Referral,Fully Meets
"Smith, Sade",1501071909,MA,2130,2/2/65,53,Female,Single,US Citizen,11/11/13,,N/A - still employed,Active,Production       ,Production Technician I,24.5,Ketsia Liebig,Employee Referral,Fully Meets
"Robertson, Peter",1499902991,MA,2138,3/7/72,45,Male,Married,US Citizen,5/7/11,8/2/12,Another position,Voluntarily Terminated,Production       ,Production Technician II,22,Kissy Sullivan,Glassdoor,Fully Meets
"Smith, John",1499902910,MA,1886,16/08/1984,33,Male,Divorced,US Citizen,18/05/2014,,N/A - still employed,Active,Sales,Sales Manager,56,Debra Houlihan,Diversity Job Fair,Needs Improvement
"Biden, Lowan  M",1412071844,MA,2027,27/12/1958,59,Female,Divorced,US Citizen,19/08/2013,,N/A - still employed,Active,Production       ,Production Technician I,22,Ketsia Liebig,Billboard,Fully Meets
"Jhaveri, Sneha  ",1412071713,MA,2109,13/04/1964,53,Female,Separated,US Citizen,6/1/14,,N/A - still employed,Active,Production       ,Production Technician I,19,Kelley Spirea,On-campus Recruiting,Fully Meets
"Leruth, Giovanni",1412071660,UT,84111,27/12/1988,29,Male,Separated,US Citizen,30/04/2012,,N/A - still employed,Active,Sales,Area Sales Manager,55,John Smith,Website Banner Ads,Fully Meets
"Favis, Donald  ",1412071562,CT,6033,30/07/1964,53,Male,Single,US Citizen,17/02/2014,19/02/2016,hours,Terminated for Cause,IT/IS,Sr. DBA,58.2,Simon Roup,Vendor Referral,Fully Meets
"Turpin, Jumil",1411071506,MA,2343,31/03/1969,48,Male,Married,Eligible NonCitizen,30/03/2015,,N/A - still employed,Active,IT/IS,Network Engineer,49.1,Peter Monroe,Employee Referral,N/A- too early to review
"Gonzales, Ricardo",1411071481,ID,83706,12/10/54,63,Male,Married,US Citizen,12/5/14,,N/A - still employed,Active,Sales,Area Sales Manager,55.5,John Smith,Monster.com,Fully Meets
"Peters, Lauren",1411071406,MA,1886,17/08/1986,31,Female,Married,US Citizen,16/05/2011,4/2/12,more money,Voluntarily Terminated,Production       ,Production Technician II,29,Ketsia Liebig,Pay Per Click - Google,Exceeds
"Gonzalez, Juan",1411071324,MA,2128,12/10/64,53,Male,Married,US Citizen,26/04/2010,30/05/2011,career change,Voluntarily Terminated,Production       ,Production Technician II,29,Brannon Miller,Diversity Job Fair,PIP
"Daniele, Ann  ",1411071312,CT,6033,18/01/1952,66,Female,Married,US Citizen,10/11/14,,N/A - still employed,Leave of Absence,IT/IS,Sr. Network Engineer,54.1,Peter Monroe,Vendor Referral,Fully Meets
"Fraval, Maruk ",1411071302,CT,6050,28/08/1963,54,Male,Single,US Citizen,6/9/11,,N/A - still employed,Active,Sales,Area Sales Manager,55,Lynn Daneault,Monster.com,Fully Meets
"Strong, Caitrin",1411071295,MT,59102,12/5/89,28,Female,Married,US Citizen,27/09/2010,,N/A - still employed,Active,Sales,Area Sales Manager,54,John Smith,Professional Society,Fully Meets
"Gonzalez, Cayo",1411071212,MA,2108,29/09/1969,48,Male,Divorced,US Citizen,11/7/11,,N/A - still employed,Active,Production       ,Production Technician I,16,Brannon Miller,Diversity Job Fair,Exceeds
